timestamp,plot,type,chamber,status,chamber_block,counter,cos.1.pmol_mol,co2.1.umol_mol,co2.2.umol_mol,h2o.mmol_mol,co.nmol_mol,cos.2.pmol_mol,cos.mean.pmol_mol,co2.mean.umol_mol,cos.mean_sd.pmol_mol,co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_con2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_con4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_con6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_con2.c,temp.air.chb_con2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_con2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_con4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_con6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,leaf.area.m2,flag,h2o.calibrated.mmol_mol,co2.calibrated.umol_mol
2022-01-12 00:05:30,irr,branch,chb_irr1,oc,0,-29,369.72422024952016,422.74398010673156,422.7205160889781,6.154112,26.04103,367.0902697422539,368.407244995887,422.73224809785484,1.8624842649977214,0.01659156606733911,10.02707,0.0,6.684855,413.3015,94.02455,0.0,0.0,,,,,9.2514475,8.991082,8.856061,8.8166075,20.672335,7.848566,3.35607,,,,,0,0.0,9.2514475,8.991082,7.848566,,0,,
2022-01-12 00:05:31,irr,branch,chb_irr1,oc,0,-28,363.8121455991226,422.68312031068376,422.6815490594949,6.151542,25.13528,363.8184877981903,363.81531669865643,422.68233468508936,0.004484611968417724,0.0011110423705929457,10.01946,0.0,6.678034,413.16504999999995,,0.0,0.0,,,,,9.248961583333333,8.988448066666667,8.855069,8.815252583333333,20.672390833333335,7.860844,3.419167,,,,,0,0.0,9.248961583333333,8.988448066666667,7.860844,,0,,
2022-01-12 00:05:32,irr,branch,chb_irr1,oc,0,-27,366.0749893748286,422.68312031068376,422.64499128183456,6.166819,25.47804,363.8184877981903,364.94673858650947,422.66405579625916,1.5955875665990777,0.026961294859325566,10.01185,0.0,6.671213,413.0286,94.02455,0.0,0.0,,,,,9.246475666666665,8.985814133333333,8.854077,8.813897666666666,20.672446666666666,7.873122,3.482264,,,,,0,0.0,9.246475666666665,8.985814133333333,7.873122,,0,,
2022-01-12 00:05:33,irr,branch,chb_irr1,oc,0,-26,370.09629592816015,422.6702360509352,422.6642652964176,6.157202,25.09594,370.0984980806142,370.0973970043872,422.66725067367645,0.0015571569334727937,0.0042219610081888825,9.98995,0.0,6.6643915,412.8649,,0.0,0.0,,,,,9.243989749999999,8.9831802,8.853085,8.81254275,20.6725025,7.884036,3.3901765,,,,,0,0.0,9.243989749999999,8.9831802,7.884036,,0,,
2022-01-12 00:05:34,irr,branch,chb_irr1,oc,0,-25,368.02732965451054,422.6702360509352,422.5383557011519,6.160405,25.20296,370.0984980806142,369.0629138675624,422.6042958760436,1.4645372390773723,0.09325348963704654,9.96805,0.0,6.65757,412.7012,94.02455,0.0,0.0,,,,,9.241503833333333,8.980546266666668,8.852093,8.811187833333333,20.672558333333335,7.89495,3.298089,,,,,0,0.0,9.241503833333333,8.980546266666668,7.89495,,0,,
2022-01-12 00:05:35,irr,branch,chb_irr1,oc,0,-24,368.04811797367705,422.5383557011519,422.5334324474269,6.159132,24.94455,368.02732965451054,368.0377238140938,422.5358940742894,0.014699561452111794,0.003481266094446854,9.972336,0.0,6.6643915,412.8922,,0.0,0.0,,,,,9.239017916666667,8.977912333333334,8.851101,8.809832916666666,20.672614166666666,7.8635725,3.260572,,,,,0,0.0,9.239017916666667,8.977912333333334,7.8635725,,0,,
2022-01-12 00:05:36,irr,branch,chb_irr1,oc,0,-23,375.4664649026597,422.5861217372927,422.58915948959105,6.164152,24.85118,375.4565111735673,375.46148803811354,422.58764061344186,0.007038349339321144,0.002148015249751397,9.976622,0.0,6.671213,413.0832,94.03547,0.0,0.0,,,,,9.236531999999999,8.9752784,8.850109,8.808478,20.67267,7.832195,3.223055,,,,,0,0.0,9.236531999999999,8.9752784,7.832195,,0,,
2022-01-12 00:05:37,irr,branch,chb_irr1,oc,0,-22,372.1452666575267,422.5861217372927,422.5896832399873,6.157555,25.29714,375.4565111735673,373.80088891554703,422.58790248864,2.341403451459098,0.002518362706602314,9.968050000000002,0.0,6.678034,413.4652,,0.0,0.0,,,,,9.234046083333332,8.972644466666667,8.849117,8.807123083333334,20.672725833333335,7.8472015,3.2776255,,,,,0,0.0,9.234046083333332,8.972644466666667,7.8472015,,0,,
2022-01-12 00:05:38,irr,branch,chb_irr1,oc,0,-21,365.99853064162323,422.57156147627603,422.5731327274649,6.160026,24.97946,365.9996757608994,365.9991032012613,422.5723471018705,0.0008097216054299693,0.0011110423705929457,9.959478,0.0,6.684855,413.8472,94.02455,0.0,0.0,,,,,9.231560166666666,8.970010533333333,8.848125000000001,8.805768166666667,20.672781666666666,7.862208,3.332196,,,,,0,0.0,9.231560166666666,8.970010533333333,7.862208,,0,,
2022-01-12 00:05:39,irr,branch,chb_irr1,oc,0,-20,365.23808335618315,422.57156147627603,422.5123776814964,6.164124,23.64273,365.9996757608994,365.61887955854127,422.5419695788862,0.5385271538750124,0.04184926262503791,9.938521000000001,0.0,6.671212499999999,413.8745,,0.0,0.0,,,,,9.22907425,8.967376600000001,8.847133000000001,8.80441325,20.6728375,7.8731225,3.3748285,,,,,0,0.0,9.22907425,8.967376600000001,7.8731225,,0,,
