timestamp,plot,type,chamber,status,chamber_block,counter,cos.1.pmol_mol,co2.1.umol_mol,co2.2.umol_mol,h2o.mmol_mol,co.nmol_mol,cos.2.pmol_mol,cos.mean.pmol_mol,co2.mean.umol_mol,cos.mean_sd.pmol_mol,co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s,par.chb_con2.umol_m2_s,par.chs_irr3.umol_m2_s,par.chs_con4.umol_m2_s,par.chs_irr5.umol_m2_s,par.chs_con6.umol_m2_s,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_con2.c,temp.air.chb_con2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_con2.slpm,day_night,par.current.chamber.umol_m2_s,temp.leaf.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,leaf.area.m2,flag,h2o.calibrated.mmol_mol,co2.calibrated.umol_mol
2022-01-11 00:05:42,irr,branch,chb_irr1,oc,0,-17,364.98897587057854,423.6504872926134,423.65562004649695,5.312339,56.03695,364.9865975459282,364.98778670825334,423.65305366955516,0.0016817294881265007,0.003629405077235454,3.111263,0.0,5.729876,415.2115,93.86084,0.0,0.0,,,,,,,,,,7.485674,3.298089,0,0.0,,,7.485674,,0,,
2022-01-11 00:05:43,irr,branch,chb_irr1,oc,0,-16,366.7802066767206,423.6504872926134,423.6288040262073,5.313148,55.6927,364.9865975459282,365.88340211132436,423.63964565941035,1.2682731791814084,0.015332384713997756,3.1190379999999998,0.0,5.7366969999999995,414.81585,,0.0,0.0,,,,,,,,,,7.4788525,3.2742145000000002,0,0.0,,,7.4788525,,0,,
2022-01-11 00:05:44,irr,branch,chb_irr1,oc,0,-15,361.222942829723,423.6337272799324,423.6317370284265,5.309894,55.94411,361.22417603509734,361.2235594324102,423.63273215417945,0.00087200788277692,0.0014073203360495626,3.126813,0.0,5.743518,414.4202,93.86084,0.0,0.0,,,,,,,,,,7.472031,3.25034,0,0.0,,,7.472031,,0,,
2022-01-11 00:05:45,irr,branch,chb_irr1,oc,0,-14,370.1103897038662,423.62566152382965,423.62848977596957,5.314328,55.50461,370.10889224019746,370.1096409720318,423.6270756498996,0.001058866714737383,0.0019998762670431856,3.118131,0.0,5.743518,414.74760000000003,,0.0,0.0,,,,,,,,,,7.482263,3.2639825,0,0.0,,,7.482263,,0,,
2022-01-11 00:05:46,irr,branch,chb_irr1,oc,0,-13,366.50352824239104,423.62566152382965,423.6169672672514,5.30479,55.8325,370.10889224019746,368.30621024129425,423.62131439554054,2.549377331494761,0.006147767783837768,3.109449,0.0,5.743518,415.075,93.86084,0.0,0.0,,,,,,,,,,7.492495,3.277625,0,0.0,,,7.492495,,0,,
2022-01-11 00:05:47,irr,branch,chb_irr1,oc,0,-12,363.22311386070743,423.6169672672514,423.6464020395224,5.308761,55.61089,366.50352824239104,364.86332105154924,423.6316846533869,2.319603254390358,0.0208135270754878,3.0925375,0.0,5.7366969999999995,415.0068,,0.0,0.0,,,,,,,,,,7.4781705,3.2111175000000003,0,0.0,,,7.4781705,,0,,
2022-01-11 00:05:48,irr,branch,chb_irr1,oc,0,-11,369.78279750479845,423.6594957994294,423.66064805030123,5.310614,55.3878,369.7800668357554,369.78143217027696,423.6600719248653,0.0019308745975143032,0.0008147644050961342,3.075626,0.0,5.729876,414.9386,93.85538,0.0,0.0,,,,,,,,,,7.463846,3.14461,0,0.0,,,7.463846,,0,,
2022-01-11 00:05:49,irr,branch,chb_irr1,oc,0,-10,367.2558716068001,423.6594957994294,423.621262020501,5.31137,55.78298,369.7800668357554,368.5179692212778,423.6403789099652,1.7848755634330273,0.027035364350679672,3.0838555000000003,0.0,5.7366969999999995,415.04775,,0.0,0.0,,,,,,,,,,7.4788525,3.207707,0,0.0,,,7.4788525,,0,,
2022-01-11 00:05:50,irr,branch,chb_irr1,oc,0,-9,368.7543923087469,423.621262020501,423.62660427454296,5.31751,55.88384,367.2558716068001,368.00513195777353,423.62393314752194,1.059614150095009,0.0037775440599034714,3.092085,0.0,5.743518,415.1569,93.86084,0.0,0.0,,,,,,,,,,7.493859,3.270804,0,0.0,,,7.493859,,0,,
2022-01-11 00:05:51,irr,branch,chb_irr1,oc,0,-8,362.6206930353715,423.6449355384128,423.6385457835782,5.307317,55.89267,362.62404030710167,362.6223666712366,423.64174066099554,0.002366878538862569,0.0045182389736856945,3.0877435,0.0,5.7366969999999995,415.75715,,0.0,0.0,,,,,,,,,,7.4740775,3.3151425000000003,0,0.0,,,7.4740775,,0,,
