timestamp,plot,type,chamber,status,chamber_block,counter,cos.1.pmol_mol,co2.1.umol_mol,co2.2.umol_mol,h2o.mmol_mol,co.nmol_mol,cos.2.pmol_mol,cos.mean.pmol_mol,co2.mean.umol_mol,cos.mean_sd.pmol_mol,co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_con2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_con4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_con6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_con2.c,temp.air.chb_con2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_con2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_con4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_con6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.soil.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,surface.area.m2,flag,h2o.calibrated.mmol_mol,co2.calibrated.umol_mol
2022-01-14 00:09:40,irr,soil,chs_irr3,cc,0,-19,339.84294934192485,458.8688256895276,458.8586649318398,11.49458,41.6786,339.85942144228136,339.8511853921031,458.8637453106837,0.011647533862472963,0.007184740663036414,9.358689,0.0,13.35591,412.8642,93.74063,0.0,0.0,,,,,9.501971666666668,9.479905333333333,9.173172333333333,9.256649333333334,20.742356666666666,,,0.9085842,1.261922,,,0,,,,,,,0,,
2022-01-14 00:09:41,irr,soil,chs_irr3,cc,0,-18,327.1471000137099,458.28400599704116,458.29217650322306,11.50677,41.98724,327.2199472168906,327.18352361530026,458.2880912501321,0.05151075135953726,0.005777420326946657,9.3329405,0.0,13.34227,412.59135,,0.0,0.0,,,,,9.502378383333333,9.480689416666667,9.173311266666666,9.258044516666667,20.74197583333333,,,0.9079020499999999,1.255101,,,0,,,,,,,0,,
2022-01-14 00:09:42,irr,soil,chs_irr3,cc,0,-17,330.28551960515495,458.28400599704116,458.39053682764455,11.50994,41.59639,327.2199472168906,328.75273341102275,458.33727141234283,2.1676870239599566,0.07532867272509236,9.307192,0.0,13.32863,412.3185,93.72971,0.0,0.0,,,,,9.5027851,9.4814735,9.1734502,9.2594397,20.741595,,,0.9072199,1.24828,,,0,,,,,,,0,,
2022-01-14 00:09:43,irr,soil,chs_irr3,cc,0,-16,341.45871264052647,458.8535321779563,458.85300842756004,11.50921,41.33815,341.39643576912533,341.4275742048259,458.8532703027582,0.04403639807882766,0.0003703474568509171,9.337766,0.0,13.32181,412.40035,,0.0,0.0,,,,,9.503191816666668,9.482257583333334,9.173589133333333,9.260834883333334,20.741214166666666,,,0.9072199,1.255101,,,0,,,,,,,0,,
2022-01-14 00:09:44,irr,soil,chs_irr3,cc,0,-15,338.0368319851933,458.8535321779563,459.00039178907326,11.5229,41.73471,341.39643576912533,339.7166338771593,458.9269619835148,2.375598617718313,0.10384542690321588,9.36834,0.0,13.31499,412.4822,93.74063,0.0,0.0,,,,,9.503598533333333,9.483041666666667,9.173728066666666,9.262230066666667,20.74083333333333,,,0.9072199,1.261922,,,0,,,,,,,0,,
2022-01-14 00:09:45,irr,soil,chs_irr3,cc,0,-14,334.08070914450235,459.19124643347783,459.1787811740463,11.50462,41.61092,334.06441321634225,334.0725611804223,459.1850138037621,0.011522961307738867,0.008814269473268877,9.342590999999999,0.0,13.32181,412.23665,,0.0,0.0,,,,,9.50400525,9.483825750000001,9.173867,9.26362525,20.7404525,,,0.9099484,1.2516905,,,0,,,,,,,0,,
2022-01-14 00:09:46,irr,soil,chs_irr3,cc,0,-13,331.7172710446943,459.19124643347783,459.0970761122266,11.52676,41.71168,334.06441321634225,332.8908421305183,459.1441612728522,1.6596801459811716,0.06658847274325796,9.316842,0.0,13.32863,411.9911,93.74063,0.0,0.0,,,,,9.504411966666668,9.484609833333334,9.174005933333333,9.265020433333333,20.740071666666665,,,0.9126769,1.241459,,,0,,,,,,,0,,
2022-01-14 00:09:47,irr,soil,chs_irr3,cc,0,-12,335.23278722237455,459.44138962274127,459.4285053629927,11.50802,40.5502,335.19596723334246,335.2143772278585,459.43494749286697,0.026035663927809812,0.009110547438765687,9.3297165,0.0,13.32181,412.26395,,0.0,0.0,,,,,9.504818683333333,9.485393916666666,9.174144866666666,9.266415616666666,20.73969083333333,,,0.9126769,1.258512,,,0,,,,,,,0,,
2022-01-14 00:09:48,irr,soil,chs_irr3,cc,0,-11,334.8254771044694,459.44138962274127,459.6411480238826,11.49988,40.8812,335.19596723334246,335.01072216890594,459.54126882331195,0.2619760824887973,0.1412505200460026,9.342591,0.0,13.31499,412.5368,93.74063,0.0,0.0,,,,,9.5052254,9.486178,9.1742838,9.267810800000001,20.73931,,,0.9126769,1.275565,,,0,,,,,,,0,,
2022-01-14 00:09:49,irr,soil,chs_irr3,cc,0,-10,327.09830031532766,459.25619148261654,459.25315373031816,11.49537,41.59339,327.1527375239923,327.12551891965995,459.25467260646735,0.038492919395632354,0.002148015249751397,9.347432000000001,0.0,13.32181,412.97335,,0.0,0.0,,,,,9.505632116666668,9.486962083333333,9.174422733333333,9.269205983333334,20.738929166666665,,,0.91063055,1.265333,,,0,,,,,,,0,,
2022-01-14 00:09:50,irr,soil,chs_irr3,cc,0,-9,332.5231707567864,459.1914559336363,459.1935509352214,11.4984,40.70053,332.5303057307376,332.526738243762,459.1925034344289,0.005045188464500085,0.0014813898274438628,9.352273,0.0,13.32863,413.4099,93.74063,0.0,0.0,,,,,9.506038833333333,9.487746166666668,9.174561666666666,9.270601166666667,20.738548333333334,,,0.9085842,1.255101,,,0,,,,,,,0,,
2022-01-14 00:09:51,irr,soil,chs_irr3,cc,0,-8,323.36424252810525,459.44191337313754,459.43489511782735,11.48802,40.55131,323.335438374006,323.3498404510556,459.43840424548245,0.020367612689920607,0.004962655921930912,9.3511895,0.0,13.32181,413.1916,,0.0,0.0,,,,,9.50644555,9.48853025,9.1747006,9.27199635,20.7381675,,,0.9079020499999999,1.2585115,,,0,,,,,,,0,,
2022-01-14 00:09:52,irr,soil,chs_irr3,cc,0,-7,325.12508363038114,459.44191337313754,458.9158584751136,11.48951,41.89853,323.335438374006,324.2302610021936,459.17888592412555,1.2654702967011975,0.37197698566910803,9.350106,0.0,13.31499,412.9733,93.74063,0.0,0.0,,,,,9.506852266666668,9.489314333333335,9.174839533333333,9.273391533333333,20.737786666666665,,,0.9072199,1.261922,,,0,,,,,,,0,,
2022-01-14 00:09:53,irr,soil,chs_irr3,cc,0,-6,333.7774287085275,458.57185921483676,458.58579097537785,11.51003,42.19018,333.81336783657804,333.7953982725528,458.5788250951073,0.025412801154460887,0.009851242352467522,9.3511895,0.0,13.32863,413.24615,,0.0,0.0,,,,,9.507258983333333,9.490098416666667,9.174978466666666,9.274786716666668,20.737405833333334,,,0.9092662499999999,1.2499850000000001,,,0,,,,,,,0,,
2022-01-14 00:09:54,irr,soil,chs_irr3,cc,0,-5,335.1377423224568,458.57185921483676,458.64099426714574,11.50322,42.5884,333.81336783657804,334.47555507951745,458.60642674099125,0.9364741797953213,0.04888586430536611,9.352273,0.0,13.34227,413.519,93.74063,0.0,0.0,,,,,9.5076657,9.4908825,9.1751174,9.276181900000001,20.737025,,,0.9113126,1.238048,,,0,,,,,,,0,,
2022-01-14 00:09:55,irr,soil,chs_irr3,cc,0,-4,331.7318052508911,458.81309864736346,458.8107941456198,11.49977,42.44113,331.7108407595284,331.7213230052098,458.81194639649163,0.014824134006685112,0.0016295288101922684,9.3517235,0.0,13.32863,413.62815,,0.0,0.0,,,,,9.508072416666668,9.491666583333334,9.175256333333333,9.277577083333334,20.736644166666665,,,0.9106305,1.2431640000000002,,,0,,,,,,,0,,
2022-01-14 00:09:56,irr,soil,chs_irr3,cc,0,-3,334.84952460926786,458.81309864736346,458.7507723502061,11.50622,42.13928,331.7108407595284,333.28018268439814,458.7819354987848,2.2193846341514543,0.0440713473662238,9.351174,0.0,13.31499,413.7373,93.74063,0.0,0.0,,,,,9.508479133333333,9.492450666666667,9.175395266666666,9.278972266666667,20.736263333333333,,,0.9099484,1.24828,,,0,,,,,,,0,,
2022-01-14 00:09:57,irr,soil,chs_irr3,cc,0,-2,332.1825418151906,458.7507723502061,458.70206356335206,11.50457,42.23817,334.84952460926786,333.5160332122292,458.7264179567791,1.8858416189998937,0.03444231348785879,9.3468825,0.0,13.32181,413.92830000000004,,0.0,0.0,,,,,9.50888585,9.493234750000001,9.1755342,9.28036745,20.7358825,,,0.9099484,1.260217,,,0,,,,,,,0,,
2022-01-14 00:09:58,irr,soil,chs_irr3,cc,0,-1,331.3680977515766,458.70206356335206,458.74773459790765,11.50931,41.41229,332.1825418151906,331.77531978338357,458.7248990806298,0.5758989202785605,0.0322942982380672,9.342591,0.0,13.32863,414.1193,93.72971,0.0,0.0,,,,,9.509292566666668,9.494018833333334,9.175673133333333,9.281762633333335,20.735501666666664,,,0.9099484,1.272154,,,0,,,,,,,0,,
2022-01-14 00:09:59,irr,soil,chs_irr3,cc,0,0,334.63415409925966,458.74773459790765,459.09236235866007,11.51401,42.20324,331.3680977515766,333.00112592541814,458.9200484782839,2.3094505911840515,0.24368862661316892,9.337766,0.0,13.32181,413.32805,,0.0,0.0,,,,,9.509699283333333,9.494802916666668,9.175812066666666,9.283157816666668,20.735120833333333,,,0.9099484,1.255101,,,0,,,,,,,0,,
2022-01-14 00:24:30,con,soil,chs_con4,cc,2,-29,326.9690780093227,441.3012946475748,441.3051704005073,11.23232,25.17926,326.95295825335893,326.9610181313408,441.30323252404105,0.011398388753044966,0.00274057118074502,9.365055,0.0,13.3549,411.7135,93.71776,0.0,0.0,,,,,9.2108725,9.2402755,9.2730235,9.212198,20.741619999999998,,,0.9207922,1.241364,,,0,,,,,,,0,,
2022-01-14 00:24:31,con,soil,chs_con4,cc,2,-28,328.81263195777353,441.3012946475748,441.50105304871613,11.22422,24.6915,326.95295825335893,327.88279510556623,441.4011738481455,1.3149878871858736,0.1412505200460026,9.346806,0.0,13.34808,411.68625,,0.0,0.0,,,,,9.21115375,9.240494416666667,9.27346945,9.2110543,20.741838333333334,,,0.9207922,1.2550055,,,0,,,,,,,0,,
2022-01-14 00:24:32,con,soil,chs_con4,cc,2,-27,325.8974225390732,441.50105304871613,441.5430578304978,11.23087,24.4591,328.81263195777353,327.35502724842337,441.52205543960696,2.0613643485418955,0.029701866040070586,9.328557,0.0,13.34126,411.659,93.71776,0.0,0.0,,,,,9.211435,9.240713333333334,9.2739154,9.2099106,20.742056666666667,,,0.9207922,1.268647,,,0,,,,,,,0,,
2022-01-14 00:24:33,con,soil,chs_con4,cc,2,-26,319.1351408692076,441.6782901828173,441.6726336785375,11.22224,24.63531,319.1215756100905,319.12835823964906,441.67546193067744,0.009592086710264758,0.003999752534046177,9.346271999999999,0.0,13.34126,411.87725,,0.0,0.0,,,,,9.21171625,9.24093225,9.274361350000001,9.2087669,20.742275,,,0.92011015,1.277173,,,0,,,,,,,0,,
2022-01-14 00:24:34,con,soil,chs_con4,cc,2,-25,320.6020386619139,441.6782901828173,441.8385578040791,11.2403,24.33731,319.1215756100905,319.8618071360022,441.7584239934482,1.0468454632404918,0.11332632179883248,9.363987,0.0,13.34126,412.0955,93.71776,0.0,0.0,,,,,9.211997499999999,9.241151166666667,9.2748073,9.2076232,20.742493333333332,,,0.9194281,1.285699,,,0,,,,,,,0,,
2022-01-14 00:24:35,con,soil,chs_con4,cc,2,-24,329.76175966547845,441.89397059600554,441.893761095847,11.24006,23.62511,329.7545366054291,329.7581481354538,441.89386584592626,0.0051074747418068415,0.0001481389827484057,9.3736685,0.0,13.36172,412.30010000000004,,0.0,0.0,,,,,9.21227875,9.241370083333333,9.27525325,9.2064795,20.742711666666665,,,0.9207922,1.2703525,,,0,,,,,,,0,,
2022-01-14 00:24:36,con,soil,chs_con4,cc,2,-23,324.62730908966273,441.9108353587658,441.90706435591255,11.23441,23.93267,324.6279256923499,324.6276173910063,441.90894985733917,0.00043600394138846,0.002666501689390914,9.38335,0.0,13.38218,412.5047,93.71776,0.0,0.0,,,,,9.21256,9.241589,9.2756992,9.2053358,20.742929999999998,,,0.9221563,1.255006,,,0,,,,,,,0,,
2022-01-14 00:24:37,con,soil,chs_con4,cc,2,-22,325.6880418837401,441.9108353587658,441.89271359505443,11.23184,23.20482,324.6279256923499,325.157983788045,441.9017744769101,0.7496153477776616,0.012814022007355248,9.369377499999999,0.0,13.37536,412.15004999999996,,0.0,0.0,,,,,9.21284125,9.241807916666668,9.276145150000001,9.2041921,20.743148333333334,,,0.9207922,1.2481849999999999,,,0,,,,,,,0,,
2022-01-14 00:24:38,con,soil,chs_con4,cc,2,-21,325.0100431861804,441.89271359505443,441.8428525573286,11.22666,23.63292,325.6880418837401,325.34904253496023,441.86778307619153,0.47941747668011186,0.035257077892914726,9.355405,0.0,13.36854,411.7954,93.71776,0.0,0.0,,,,,9.2131225,9.242026833333334,9.276591100000001,9.2030484,20.743366666666667,,,0.9194281,1.241364,,,0,,,,,,,0,,
2022-01-14 00:24:39,con,soil,chs_con4,cc,2,-20,322.8881371675349,441.8428525573286,441.86841157666703,11.22348,23.88863,325.0100431861804,323.9490901768577,441.8556320669978,1.5004141348247544,0.018072955894662387,9.36023,0.0,13.38218,411.659,,0.0,0.0,,,,,9.21340375,9.24224575,9.27703705,9.2019047,20.743585,,,0.9194281,1.239659,,,0,,,,,,,0,,
2022-01-14 00:24:40,con,soil,chs_con4,cc,2,-19,328.9470513435701,441.95818239458947,441.9557731427666,11.21989,23.88497,328.93700952837946,328.94203043597474,441.95697776867803,0.00710063561670829,0.0017035983015463742,9.365055,0.0,13.39582,411.5226,93.71776,0.0,0.0,,,,,9.213685,9.242464666666667,9.277483,9.200761,20.743803333333332,,,0.9194281,1.237954,,,0,,,,,,,0,,
2022-01-14 00:24:41,con,soil,chs_con4,cc,2,-18,316.8264042363586,442.0679604776498,442.0682747278876,11.22031,23.75012,316.8117819440636,316.81909309021114,442.0681176027687,0.01033952203826739,0.00022220847414270575,9.3688125,0.0,13.36854,411.41345,,0.0,0.0,,,,,9.21396625,9.242683583333333,9.277928950000002,9.1996173,20.744021666666665,,,0.92011015,1.2550055,,,0,,,,,,,0,,
2022-01-14 00:24:42,con,soil,chs_con4,cc,2,-17,312.97246126953655,442.20790658353593,442.2073828331396,11.2196,23.21614,312.9543155333151,312.96338840142585,442.20764470833774,0.012830973131823858,0.0003703474568911115,9.37257,0.0,13.34126,411.3043,93.71776,0.0,0.0,,,,,9.214247499999999,9.2429025,9.278374900000001,9.1984736,20.744239999999998,,,0.9207922,1.272057,,,0,,,,,,,0,,
2022-01-14 00:24:43,con,soil,chs_con4,cc,2,-16,322.46461920756786,442.25305386769526,442.2564058702315,11.22459,23.78315,322.4561629421442,322.46039107485603,442.2547298689634,0.005979482624583761,0.0023702237239342974,9.385977,0.0,13.3549,411.6999,,0.0,0.0,,,,,9.21452875,9.243121416666666,9.27882085,9.1973299,20.74445833333333,,,0.9207922,1.268647,,,0,,,,,,,0,,
2022-01-14 00:24:44,con,soil,chs_con4,cc,2,-15,322.7301987935289,442.25305386769526,442.19083232061723,11.22842,23.77489,322.4561629421442,322.59318086783657,442.22194309415625,0.19377260880236735,0.043997277874789305,9.399384,0.0,13.36854,412.0955,93.71776,0.0,0.0,,,,,9.21481,9.243340333333334,9.2792668,9.1961862,20.744676666666667,,,0.9207922,1.265237,,,0,,,,,,,0,,
2022-01-14 00:24:45,con,soil,chs_con4,cc,2,-14,319.1465039758706,442.1650638011202,442.1639115502484,11.22673,23.57529,319.1507321085824,319.14861804222653,442.1644876756843,0.002989741312291881,0.0008147644050961342,9.386510999999999,0.0,13.36854,412.20465,,0.0,0.0,,,,,9.21509125,9.24355925,9.279712750000002,9.1950425,20.744895,,,0.9214742499999999,1.258416,,,0,,,,,,,0,,
2022-01-14 00:24:46,con,soil,chs_con4,cc,2,-13,324.46989923224567,442.12735377258804,442.12106876783264,11.21709,23.5933,324.47976487523994,324.47483205374283,442.12421127021037,0.006976063062014388,0.004444169482331588,9.373638,0.0,13.36854,412.3138,93.70684,0.0,0.0,,,,,9.2153725,9.243778166666667,9.280158700000001,9.1938988,20.745113333333332,,,0.9221563,1.251595,,,0,,,,,,,0,,
2022-01-14 00:24:47,con,soil,chs_con4,cc,2,-12,324.67381854949275,442.12735377258804,442.01485218746706,11.21588,24.20668,324.47976487523994,324.57679171236634,442.07110298002755,0.13721666897833001,0.07955063373328124,9.3688125,0.0,13.37536,411.95910000000003,,0.0,0.0,,,,,9.21565375,9.243997083333333,9.28060465,9.1927551,20.745331666666665,,,0.91942805,1.241364,,,0,,,,,,,0,,
2022-01-14 00:24:48,con,soil,chs_con4,cc,2,-11,327.0379613380861,442.01485218746706,441.9981969248653,11.22775,24.45578,324.67381854949275,325.8558899437894,442.00652455616614,1.671701397507646,0.011777049128156603,9.363987,0.0,13.38218,411.6044,93.7123,0.0,0.0,,,,,9.215935,9.244216,9.2810506,9.1916114,20.745549999999998,,,0.9166998,1.231133,,,0,,,,,,,0,,
2022-01-14 00:24:49,con,soil,chs_con4,cc,2,-10,331.2019673704414,441.7972862728522,441.8002192750714,11.23214,25.14462,331.22619104743626,331.21407920893887,441.79875277396184,0.017128726268321313,0.0020739457584374858,9.3688125,0.0,13.36172,411.82265,,0.0,0.0,,,,,9.21621625,9.244434916666666,9.28149655,9.1904677,20.74576833333333,,,0.9173818499999999,1.2260175,,,0,,,,,,,0,,
2022-01-14 00:24:50,con,soil,chs_con4,cc,2,-9,325.2193357554154,441.84190980661526,441.8363580524147,11.2237,24.66641,325.2176621195503,325.2184989374829,441.839133929515,0.0011834392694312845,0.003925683042692071,9.373638,0.0,13.34126,412.0409,93.71776,0.0,0.0,,,,,9.2164975,9.244653833333334,9.281942500000001,9.189324000000001,20.745986666666667,,,0.9180639,1.220902,,,0,,,,,,,0,,
2022-01-14 00:24:51,con,soil,chs_con4,cc,2,-8,326.04373354812174,441.84190980661526,441.90182685194975,11.22742,24.3509,325.2176621195503,325.63069783383605,441.8718683292825,0.5841207088873129,0.042367749064677426,9.364521499999999,0.0,13.34808,412.06820000000005,,0.0,0.0,,,,,9.21677875,9.24487275,9.282388450000001,9.1881803,20.746205,,,0.9180639,1.251595,,,0,,,,,,,0,,
2022-01-14 00:24:52,con,soil,chs_con4,cc,2,-7,325.28857142857146,441.90182685194975,441.98164641234285,11.22995,25.11894,326.04373354812174,325.6661524883466,441.94173663214633,0.5339802556292076,0.056440952425293636,9.355405,0.0,13.3549,412.0955,93.71776,0.0,0.0,,,,,9.21706,9.245091666666667,9.2828344,9.1870366,20.746423333333333,,,0.9180639,1.282288,,,0,,,,,,,0,,
2022-01-14 00:24:53,con,soil,chs_con4,cc,2,-6,326.07826329860154,441.98164641234285,442.0256414456304,11.22571,25.02425,325.2884833424733,325.6833733205374,442.00364392898666,0.5584587626235044,0.031109186376160343,9.3559385,0.0,13.36172,411.84995000000004,,0.0,0.0,,,,,9.21734125,9.245310583333334,9.28328035,9.1858929,20.746641666666665,,,0.91942805,1.2635315,,,0,,,,,,,0,,
2022-01-14 00:24:54,con,soil,chs_con4,cc,2,-5,334.8986766520428,441.8464140600233,441.85091831343135,11.23256,25.00678,334.91928879901286,334.90898272552784,441.8486661867273,0.014574988897337505,0.0031849881290304314,9.356472,0.0,13.36854,411.6044,93.71776,0.0,0.0,,,,,9.217622500000001,9.2455295,9.283726300000001,9.1847492,20.746859999999998,,,0.9207922,1.244775,,,0,,,,,,,0,,
2022-01-14 00:24:55,con,soil,chs_con4,cc,2,-4,324.93622703591996,441.6336666490543,441.6305241466766,11.22782,25.55691,324.96732142857144,324.9517742322457,441.63209539786544,0.021987055900740352,0.0022220847411858913,9.3559385,0.0,13.36172,411.35884999999996,,0.0,0.0,,,,,9.21790375,9.245748416666666,9.284172250000001,9.1836055,20.74707833333333,,,0.9221562999999999,1.2550059999999998,,,0,,,,,,,0,,
2022-01-14 00:24:56,con,soil,chs_con4,cc,2,-3,329.3455528516589,441.44186925393643,441.44375475536305,11.23069,25.179,329.3693360981629,329.3574444749109,441.44281200464974,0.01681729488158656,0.001333250844695457,9.355405,0.0,13.3549,411.1133,93.71776,0.0,0.0,,,,,9.218185,9.245967333333333,9.2846182,9.1824618,20.747296666666664,,,0.9235204,1.265237,,,0,,,,,,,0,,
2022-01-14 00:24:57,con,soil,chs_con4,cc,2,-2,326.00303777077045,441.29532389305723,441.29951389622744,11.23717,25.55431,326.01906944063614,326.0110536057033,441.2974188946423,0.011336102475778405,0.0029627796548475313,9.364521499999999,0.0,13.34808,411.277,,0.0,0.0,,,,,9.21846625,9.246186250000001,9.28506415,9.1813181,20.747515,,,0.92079215,1.24989,,,0,,,,,,,0,,
2022-01-14 00:24:58,con,soil,chs_con4,cc,2,-1,323.9089669591445,441.29532389305723,441.2600231163479,11.2258,25.53822,326.01906944063614,324.96401819989035,441.27767350470253,1.4920677736613082,0.024961418592322572,9.373638,0.0,13.34126,411.4407,93.71776,0.0,0.0,,,,,9.2187475,9.246405166666667,9.285510100000002,9.1801744,20.747733333333333,,,0.9180639,1.234543,,,0,,,,,,,0,,
2022-01-14 00:24:59,con,soil,chs_con4,cc,2,0,326.9869594872498,441.2600231163479,441.1248955141076,11.24014,26.2232,323.9089669591445,325.4479632231971,441.1924593152278,2.1764693890647915,0.09554964386958652,9.360763500000001,0.0,13.34808,412.01365,,0.0,0.0,,,,,9.21902875,9.246624083333334,9.285956050000001,9.1790307,20.747951666666665,,,0.9180639,1.24989,,,0,,,,,,,0,,
2022-01-14 00:39:30,irr,soil,chs_irr3,cc,5,-29,330.77818515217984,458.2900815016379,458.4591481295573,11.47609,49.12285,331.57465965176857,331.1764224019742,458.3746148155976,0.5631925197013501,0.11954815907414496,9.16319,0.0,13.20544,414.9086,93.70747,0.0,0.0,,,,,9.0340205,8.9885315,9.12661,9.094718,20.774845,,,0.9249265,1.302809,,,0,,,,,,,0,,
