timestamp,RECORD,TcRafat_Avg(1),TcRafat_Avg(2),TcRafat_Avg(3),TcRafat_Avg(4),TcRafat_Avg(5),TcRafat_Avg(6)
2022-01-12 01:08:00,58083,8.990084,8.97722,9.224649,9.161698,,20.66216
2022-01-12 01:09:00,58084,8.983066,8.967237,9.146191,9.04025,,20.65471
2022-01-12 01:10:00,58085,8.950109,8.964739,9.247699,9.111099,,20.66479
2022-01-12 01:11:00,58086,8.959414,8.912029,9.16845,9.070708,,20.66211
2022-01-12 01:12:00,58087,8.962844,8.900543,9.176845,9.08685,,20.65349
2022-01-12 01:13:00,58088,8.955836,8.83662,9.002636,8.884975,,20.66118
2022-01-12 01:14:00,58089,8.952689,8.832984,8.8577,8.697687,,20.67253
2022-01-12 01:15:00,58090,9.159185,8.906097,8.708527,8.529217,,20.66405
2022-01-12 01:16:00,58091,9.10279,8.873839,8.693397,8.482073,,20.66868
2022-01-12 01:17:00,58092,9.161267,8.912086,8.707821,8.587937,,20.67015
2022-01-12 01:18:00,58093,8.943389,8.788851,8.6736,8.569635,,20.66753
2022-01-12 01:19:00,58094,8.898585,8.659825,8.600956,8.468702,,20.6738
2022-01-12 01:20:00,58095,8.878962,8.677846,8.506198,8.283731,,20.676
2022-01-12 01:21:00,58096,9.128036,8.920156,8.575296,8.409938,,20.68923
2022-01-12 01:22:00,58097,9.159769,8.953274,8.681871,8.560279,,20.6917
2022-01-12 01:23:00,58098,9.200548,8.998927,8.767028,8.657965,,20.67737
2022-01-12 01:24:00,58099,9.278414,9.066458,8.860572,8.798602,,20.68528
2022-01-12 01:25:00,58100,9.344127,9.145216,8.878735,8.79974,,20.6835
2022-01-12 01:26:00,58101,9.321207,9.121439,8.852885,8.701,,20.68442
2022-01-12 01:27:00,58102,9.484192,9.305482,8.530779,8.526145,,20.68828
2022-01-12 01:28:00,58103,9.260459,9.124325,8.44408,8.443915,,20.67789
2022-01-12 01:29:00,58104,9.113954,8.988144,8.451886,8.428456,,20.69984
2022-01-12 01:30:00,58105,9.044958,8.964002,8.446169,8.376783,,20.69781
2022-01-12 01:31:00,58106,8.971438,8.837342,8.424607,8.38248,,20.68554
2022-01-12 01:32:00,58107,9.17668,9.008885,8.419502,8.393291,,20.71754
2022-01-12 01:33:00,58108,9.407023,9.172407,8.439958,8.417392,,20.69817
2022-01-12 01:34:00,58109,9.102537,9.012114,8.39927,8.367687,,20.69229
2022-01-12 01:35:00,58110,9.171513,9.040521,8.419516,8.214533,,20.69272
2022-01-12 01:36:00,58111,8.773745,8.671102,8.451627,8.054723,,20.68064
2022-01-12 01:37:00,58112,8.870829,8.728826,8.385904,7.998396,,20.68396
2022-01-12 01:38:00,58113,8.442744,8.33203,8.47539,8.019505,,20.6778
2022-01-12 01:39:00,58114,8.237439,8.132462,8.500411,7.937521,,20.67963
2022-01-12 01:40:00,58115,7.890857,7.984139,8.204782,7.656573,,20.68207
2022-01-12 01:41:00,58116,7.938796,7.91281,8.334905,7.954034,,20.68238
2022-01-12 01:42:00,58117,8.035935,7.881836,8.219357,7.716053,,20.67799
2022-01-12 01:43:00,58118,8.328091,8.017778,8.387874,7.849579,,20.6789
2022-01-12 01:44:00,58119,8.867506,8.600812,8.385473,7.932075,,20.67681
2022-01-12 01:45:00,58120,9.012098,8.887909,8.489599,8.251592,,20.68214
2022-01-12 01:46:00,58121,9.20732,9.020951,8.582725,8.206606,,20.67545
2022-01-12 01:47:00,58122,9.307746,9.142122,8.681336,8.41231,,20.68257
2022-01-12 01:48:00,58123,9.231156,9.081849,8.524728,8.227469,,20.67649
2022-01-12 01:49:00,58124,9.049606,8.941169,8.581732,8.379043,,20.66881
2022-01-12 01:50:00,58125,9.248752,9.102798,8.736583,8.49042,,20.67583
2022-01-12 01:51:00,58126,9.359452,9.169527,8.691656,8.408881,,20.68517
2022-01-12 01:52:00,58127,9.192794,9.049233,8.710974,8.542577,,20.67902
2022-01-12 01:53:00,58128,9.025502,8.828218,8.785531,8.611445,,20.69016
2022-01-12 01:54:00,58129,9.163622,8.969157,8.747628,8.689173,,20.67961
2022-01-12 01:55:00,58130,9.278815,9.080443,8.841369,8.787248,,20.701
2022-01-12 01:56:00,58131,9.471254,9.228719,8.766296,8.664123,,20.70821
2022-01-12 01:57:00,58132,9.306203,9.077682,8.655413,8.400651,,20.6976
2022-01-12 01:58:00,58133,9.189093,9.046396,8.477895,8.204413,,20.66609
2022-01-12 01:59:00,58134,9.109662,8.980807,8.295981,8.024631,,20.68185
2022-01-12 02:00:00,58135,9.004823,8.904288,8.215446,8.035815,,20.68675
2022-01-12 02:03:00,58138,8.684908,8.429885,8.305386,8.14024,,20.70496
