timestamp,RECORD,TcRafat_Avg(1),TcRafat_Avg(2),TcRafat_Avg(3),TcRafat_Avg(4),TcRafat_Avg(5),TcRafat_Avg(6)
2022-01-14 00:00:00,60895,9.129298,9.074259,9.168332,9.214431,,20.73826
2022-01-14 00:03:00,60898,9.139197,9.148417,9.171946,9.321379,,20.75425
2022-01-14 00:04:00,60899,9.174654,9.091196,9.207354,9.404073,,20.75479
2022-01-14 00:05:00,60900,9.166805,9.141511,9.275607,9.186084,,20.7431
2022-01-14 00:06:00,60901,9.172857,9.21045,9.013716,9.200185,,20.7492
2022-01-14 00:07:00,60902,9.406298,9.280051,9.167518,9.306277,,20.74728
2022-01-14 00:08:00,60903,9.472739,9.404255,9.23435,9.160919,,20.74277
2022-01-14 00:09:00,60904,9.485703,9.448542,9.167615,9.200842,,20.75759
2022-01-14 00:10:00,60905,9.510106,9.495587,9.175951,9.284553,,20.73474
2022-01-14 00:11:00,60906,9.534917,9.422963,9.239604,9.137778,,20.76431
2022-01-14 00:12:00,60907,9.546033,9.419842,9.226009,9.08653,,20.77192
2022-01-14 00:13:00,60908,9.541895,9.501315,9.162541,9.244418,,20.73032
2022-01-14 00:14:00,60909,9.557407,9.424806,9.149152,9.189331,,20.76266
2022-01-14 00:15:00,60910,9.320981,9.268314,9.201558,9.182709,,20.75787
2022-01-14 00:16:00,60911,9.253615,9.162002,9.233931,9.152309,,20.75261
2022-01-14 00:17:00,60912,9.23093,9.150521,9.17596,9.156941,,20.76633
2022-01-14 00:18:00,60913,9.221539,9.180006,9.252425,9.125063,,20.76347
2022-01-14 00:19:00,60914,9.217151,9.182878,9.132711,9.171295,,20.73318
2022-01-14 00:20:00,60915,9.209087,9.267788,9.199085,9.067204,,20.77996
2022-01-14 00:21:00,60916,9.2112,9.265042,9.264119,9.240682,,20.75332
2022-01-14 00:22:00,60917,9.213071,9.220118,9.165905,9.152251,,20.76081
2022-01-14 00:23:00,60918,9.23563,9.212505,9.215575,9.212198,,20.76719
2022-01-14 00:24:00,60919,9.202435,9.233708,9.259645,9.246509,,20.73507
2022-01-14 00:25:00,60920,9.21931,9.246843,9.286402,9.177887,,20.74817
2022-01-14 00:26:00,60921,9.253703,9.125288,9.50708,9.177027,,20.75319
2022-01-14 00:27:00,60922,9.227702,9.195405,9.475956,9.528948,,20.744
2022-01-14 00:28:00,60923,9.208465,9.24904,9.557184,9.472898,,20.76114
2022-01-14 00:29:00,60924,9.241934,9.199325,9.634775,9.616293,,20.76209
2022-01-14 00:30:00,60925,9.237037,9.18977,9.506766,9.494542,,20.73843
2022-01-14 00:31:00,60926,9.209705,9.134022,9.529809,9.688542,,20.74258
2022-01-14 00:32:00,60927,9.192564,9.087703,9.638327,9.522198,,20.76711
2022-01-14 00:33:00,60928,9.182086,9.140764,9.530255,9.661458,,20.75352
2022-01-14 00:34:00,60929,9.143368,9.099845,9.52901,9.595594,,20.76621
2022-01-14 00:35:00,60930,9.143143,9.164025,9.317251,9.019522,,20.76107
2022-01-14 00:36:00,60931,9.171355,8.912429,9.088029,9.09884,,20.80491
2022-01-14 00:37:00,60932,9.128673,9.025176,8.989048,9.016915,,20.73027
2022-01-14 00:38:00,60933,9.056788,8.968706,8.983921,9.029131,,20.77668
2022-01-14 00:39:00,60934,9.044983,8.969721,9.158796,9.202335,,20.77596
2022-01-14 00:40:00,60935,9.023058,9.007342,9.094424,8.987101,,20.77373
2022-01-14 00:41:00,60936,9.044246,8.827922,8.982916,9.212999,,20.78849
2022-01-14 00:42:00,60937,8.972012,8.954508,9.447449,8.886438,,20.82677
2022-01-14 00:43:00,60938,9.012608,8.992313,8.784474,8.930381,,20.72962
2022-01-14 00:44:00,60939,8.975715,8.913358,8.902754,9.123401,,20.77481
2022-01-14 00:45:00,60940,8.888225,8.957373,8.94492,8.618991,,20.72781
2022-01-14 00:46:00,60941,8.92134,8.761906,8.828671,9.020842,,20.7659
2022-01-14 00:47:00,60942,8.889224,8.661304,9.262457,9.182071,,20.81857
2022-01-14 00:48:00,60943,8.880059,8.814441,8.791563,8.899717,,20.7613
2022-01-14 00:49:00,60944,8.848583,8.837914,8.55225,8.850348,,20.69727
2022-01-14 00:50:00,60945,8.84516,8.787157,8.339839,8.889175,,20.69205
2022-01-14 00:51:00,60946,8.794338,8.852573,8.57866,8.701945,,20.69445
2022-01-14 00:52:00,60947,8.776114,8.781302,8.751436,8.719839,,20.73147
2022-01-14 00:53:00,60948,8.750932,8.586596,8.622816,8.923226,,20.73095
